age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
8-9,emotional intelligence & mental resilience,Support emotional honesty.,Admitting feelings instead of hiding them,Emotional honesty builds trust and self-acceptance.,Model sharing feelings openly in age-appropriate ways.,"['Model openness', 'Respond supportively']","['Mock vulnerability', 'Dismiss feelings']",Sharing feelings is a strength.
8-9,emotional intelligence & mental resilience,Encourage emotional regulation during excitement.,Managing overly excited emotions without losing control,Strong positive emotions also need regulation.,Practice calming techniques even during happy excitement.,"['Normalize excitement', 'Guide calming']","['Suppress joy', 'Ignore loss of control']",All emotions need balance.
8-9,emotional intelligence & mental resilience,Build courage in emotionally difficult moments.,Facing fears by taking small emotional steps,Gradual exposure builds emotional strength.,"Break fears into small, manageable challenges.","['Celebrate small steps', 'Provide reassurance']","['Force exposure', 'Dismiss fear']",Bravery grows step by step.
8-9,emotional intelligence & mental resilience,Improve emotional persistence.,Staying emotionally engaged during long or tiring tasks,Emotional stamina supports academic and personal success.,Teach short breaks and encouragement during long tasks.,"['Acknowledge effort', 'Encourage rest']","['Push endlessly', 'Label as lazy']",Endurance includes emotional strength.
8-9,emotional intelligence & mental resilience,Support healthy emotional independence.,Managing emotions without immediate adult intervention,Independence builds confidence and self-trust.,Pause before stepping in and let the child try coping.,"['Observe quietly', 'Offer help later']","['Rescue immediately', 'Ignore completely']",Support doesn’t always mean stepping in.
8-9,emotional intelligence & mental resilience,Encourage balanced self-criticism.,Recognizing mistakes without harsh self-judgment,Healthy self-talk prevents discouragement.,Teach noticing mistakes without negative labels.,"['Model kindness to self', 'Encourage reflection']","['Allow self-blame', 'Ignore negative self-talk']",Kind self-talk builds resilience.
8-9,emotional intelligence & mental resilience,Strengthen emotional awareness in social settings.,Noticing emotional cues in peers,Social awareness supports empathy and friendships.,Discuss facial expressions and tone in social situations.,"['Ask reflective questions', 'Encourage observation']","['Assume understanding', 'Overinterpret']",Emotions often show before words.
8-9,emotional intelligence & mental resilience,Build emotional closure skills.,Letting go of minor frustrations,Holding onto small issues increases stress.,Discuss which problems are worth carrying forward.,"['Normalize letting go', 'Model forgiveness']","['Rehash small issues', 'Encourage grudges']",Not everything needs to be carried.
8-9,emotional intelligence & mental resilience,Support confidence during evaluation.,Managing emotions before tests or performances,Emotional readiness improves performance.,Practice calming routines before evaluations.,"['Create routines', 'Offer reassurance']","['Add pressure', 'Focus on outcomes']",Calm minds perform better.
8-9,emotional intelligence & mental resilience,Help children cope with unexpected changes.,Adapting emotionally when plans change suddenly,Flexibility reduces frustration and anxiety.,Talk through what changed and identify what remains the same.,"['Acknowledge feelings', 'Model flexibility']","['Dismiss reactions', 'Overexplain']",Flexibility grows through calm guidance.
8-9,emotional intelligence & mental resilience,Support emotional clarity in conflicts.,Separating facts from feelings during disagreements,Clarity prevents escalation and misunderstanding.,Help the child state what happened and how it felt as two parts.,"['Guide calmly', 'Validate emotions']","['Argue details', 'Invalidate feelings']",Clear thinking supports calmer solutions.
8-9,emotional intelligence & mental resilience,Encourage steady motivation.,Continuing effort even when praise is not immediate,Internal motivation supports long-term resilience.,Highlight effort and progress rather than constant rewards.,"['Notice effort', 'Encourage self-pride']","['Over-reward', 'Withhold encouragement']",Motivation lasts when it comes from within.
8-9,emotional intelligence & mental resilience,Strengthen emotional grounding.,Using physical cues to recognize rising emotions,Body awareness helps prevent emotional overload.,Discuss signs like tight shoulders or fast heartbeat.,"['Increase awareness', 'Teach early response']","['Ignore body signals', 'Overreact']",The body often speaks first.
8-9,emotional intelligence & mental resilience,Build comfort with asking for help.,Requesting emotional support appropriately,Knowing when to ask for help builds resilience.,Role-play asking for help using clear words.,"['Respond supportively', 'Encourage clarity']","['Label as needy', 'Ignore requests']",Asking for help is a strength.
8-9,emotional intelligence & mental resilience,Support emotional balance after success.,Staying grounded after praise or winning,Balance prevents overconfidence and disappointment.,Discuss effort and teamwork after success.,"['Praise effort', 'Encourage gratitude']","['Overhype wins', 'Create pressure']",Balance matters in success too.
8-9,emotional intelligence & mental resilience,Encourage thoughtful emotional choices.,Choosing constructive responses over emotional reactions,Choice-based responses improve self-control.,Discuss options before responding to emotional triggers.,"['Offer choices', 'Practice scenarios']","['Demand instant control', 'Punish emotions']",Choices shape emotional outcomes.
8-9,emotional intelligence & mental resilience,Build tolerance for uncertainty.,Staying calm when outcomes are unknown,Uncertainty tolerance reduces anxiety.,Talk about waiting periods and what can be controlled.,"['Normalize uncertainty', 'Model patience']","['Provide false certainty', 'Dismiss worries']",Calm grows when uncertainty is accepted.
