age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
34-36,gross motor,Walk sideways along a line or rope,Develop lateral coordination and balance,"['Tape, rope, or line on floor']",medium,10,indoor
34-36,gross motor,Throw a soft object into a hoop or target,"Improve aim, hand-eye coordination, and focus","['Soft ball, hoop or basket']",medium,10,both
34-36,gross motor,Jump over small objects or lines,Develop leg strength and coordination,"['Soft blocks, ropes, or tape lines']",medium,10,both
34-36,gross motor,Run short distances on tiptoes,Strengthen leg muscles and improve balance,['Open area'],medium,10,both
34-36,gross motor,Push or pull light objects across a surface,Enhance upper body strength and coordination,"['Light boxes or toys, open area']",medium,10,both
34-36,gross motor,Climb up a low slide and slide down,"Develop coordination, strength, and confidence",['Low slide or playground equipment'],medium,15,outdoor
34-36,gross motor,Run while changing direction quickly,Improve agility and coordination,"['Open space, cones optional']",medium,10,both
34-36,gross motor,Balance while standing on tiptoes,Strengthen calves and improve balance,['Open space'],medium,10,indoor
34-36,gross motor,Throw and roll a ball to a partner,Develop hand-eye coordination and social play,"['Soft ball, partner']",medium,10,both
34-36,gross motor,Crawl over low obstacles,"Enhance body awareness, coordination, and strength","['Cushions, chairs, or low tunnel']",medium,10,both
34-36,gross motor,Kick a stationary ball repeatedly into a goal,"Improve aim, coordination, and leg strength","['Soft ball, goal area or basket']",medium,10,both
34-36,gross motor,Run in a circle around markers,"Enhance stamina, coordination, and spatial awareness","['Cones or markers, open area']",medium,10,both
34-36,gross motor,Balance on one leg while reaching forward,"Improve stability, core strength, and coordination",['Open space'],medium,10,indoor
34-36,gross motor,Jump forward from a low step or platform,"Develop leg strength, coordination, and confidence","['Low step or platform, mat optional']",medium,10,both
34-36,gross motor,Run over an uneven surface carefully,"Enhance balance, coordination, and spatial awareness",['Soft mats or grass area'],medium,15,outdoor
34-36,gross motor,Roll sideways on the floor,Develop body awareness and core strength,['Soft mat or carpet'],medium,10,indoor
34-36,gross motor,Climb on low furniture safely and jump down,"Enhance leg strength, confidence, and coordination","['Low chair or platform, adult supervision']",medium,10,indoor
34-36,gross motor,Run and stop on signal without falling,Develop body control and reaction skills,['Open area'],medium,10,both
34-36,gross motor,Hop over small objects in sequence,"Enhance balance, coordination, and sequencing skills",['Soft blocks or cones'],medium,10,both
34-36,gross motor,Run while holding a light object safely,Improve coordination and body awareness,"['Light ball or beanbag, open area']",medium,10,both
34-36,gross motor,Crawl under tables or obstacles,"Enhance flexibility, coordination, and body control","['Tables, chairs, or low obstacles']",medium,10,indoor
34-36,gross motor,Climb stairs with alternating feet,Strengthen legs and coordination,"['Stairs, adult supervision']",medium,10,indoor
34-36,gross motor,Walk on a balance beam with arms outstretched,Enhance balance and core strength,['Low balance beam or tape line'],medium,10,indoor
34-36,gross motor,Throw small beanbags into containers from distance,"Improve aim, coordination, and focus","['Beanbags, containers']",medium,10,both
34-36,gross motor,Run around in a relay with a partner,"Develop speed, coordination, and teamwork","['Open area, partner']",medium,15,both
34-36,fine motor,Draw simple shapes like circles and squares,Develop hand-eye coordination and pencil control,"['Paper, crayons, or markers']",medium,15,indoor
34-36,fine motor,Stack small blocks into towers,Enhance hand-eye coordination and problem-solving,['Small blocks or cubes'],medium,15,indoor
34-36,fine motor,Thread large beads onto a string,Improve pincer grasp and concentration,"['Large beads, string or shoelace']",medium,15,indoor
34-36,fine motor,Use safety scissors to cut along lines,Develop scissor skills and hand coordination,"['Child-safe scissors, paper']",medium,15,indoor
34-36,fine motor,Pick up small objects using fingers,Strengthen pincer grasp and dexterity,"['Buttons, beads, or coins']",medium,10,indoor
34-36,fine motor,Complete simple puzzles with large pieces,Enhance problem-solving and hand coordination,['Large-piece puzzles'],medium,15,indoor
34-36,fine motor,Squeeze and mold playdough into shapes,Develop hand strength and creativity,['Playdough or clay'],medium,15,indoor
34-36,fine motor,Turn pages of a book carefully,Enhance finger dexterity and focus,['Books with large pages'],medium,10,indoor
34-36,fine motor,Pour water from one container to another,Develop coordination and control,"['Small cups or containers, water']",medium,15,indoor
34-36,fine motor,Screw and unscrew large nuts and bolts,Enhance hand strength and problem-solving,"['Large nuts, bolts, or toy tools']",medium,15,indoor
34-36,fine motor,Use a spoon to transfer small objects,Improve hand-eye coordination and control,"['Spoon, small beads or beans, bowls']",medium,10,indoor
34-36,fine motor,Stack coins or flat objects,Develop precision and hand control,['Coins or flat discs'],medium,10,indoor
34-36,fine motor,Draw lines and zigzags on paper,Enhance pencil control and creativity,"['Paper, crayons, or markers']",medium,15,indoor
34-36,fine motor,Open and close containers with lids,Develop hand strength and coordination,['Plastic containers with lids'],medium,10,indoor
34-36,fine motor,Push pegs into a pegboard,Improve fine motor skills and hand-eye coordination,['Pegboard and pegs'],medium,15,indoor
34-36,fine motor,Pick up small objects with tweezers,Enhance pincer grasp and hand strength,"['Tweezers, small beads or beans']",medium,10,indoor
34-36,fine motor,Thread pasta shapes onto string,Develop hand-eye coordination and concentration,"['String, dry pasta with holes']",medium,15,indoor
34-36,fine motor,Draw faces or simple figures,Enhance creativity and pencil control,"['Paper, crayons, or markers']",medium,15,indoor
34-36,fine motor,Open zippers with assistance,Develop independence and hand coordination,['Clothing with zippers'],medium,10,indoor
34-36,fine motor,Twist and turn lids on jars,Improve dexterity and hand strength,['Plastic jars with lids'],medium,10,indoor
34-36,fine motor,Draw patterns or lines with chalk,Enhance creativity and motor control,"['Chalk, sidewalk or board']",medium,15,outdoor
34-36,fine motor,Push buttons on toys or devices,Develop finger control and coordination,['Interactive toys or devices'],medium,10,indoor
34-36,fine motor,Draw lines connecting dots,Improve precision and hand-eye coordination,"['Dot-to-dot worksheets, pencils']",medium,15,indoor
34-36,fine motor,Twist and snap plastic toys together,Enhance problem-solving and dexterity,['Snap or construction toys'],medium,15,indoor
34-36,fine motor,Place stickers on paper carefully,Develop precision and control,"['Stickers, paper']",medium,10,indoor
34-36,fine motor,Roll small balls of clay or dough,Enhance hand strength and creativity,['Clay or playdough'],medium,15,indoor
34-36,fine motor,Pick up and sort small objects by color,Develop sorting skills and hand dexterity,"['Colored beads, bowls or trays']",medium,15,indoor
34-36,fine motor,Use a paintbrush to make lines and shapes,Improve hand control and creativity,"['Paint, brushes, paper']",medium,15,both
34-36,fine motor,Pull apart and put together large puzzle pieces,Enhance problem-solving and dexterity,['Large-piece puzzles'],medium,15,indoor
34-36,fine motor,"Twist, turn, and stack small containers",Improve hand strength and coordination,['Plastic containers of different sizes'],medium,10,indoor
34-36,fine motor,Build shapes using interlocking blocks,Enhance spatial reasoning and dexterity,['Interlocking blocks'],medium,15,indoor
