age_range,domain,activity,goal
7-8,daily life / self help,Choose healthy snacks instead of junk food,Encourage self-control and nutrition awareness
7-8,daily life / self help,Help decorate their room or study space neatly,Promote creativity and ownership of personal space
7-8,daily life / self help,Set reminders for homework or reading time,Enhance planning and responsibility habits
7-8,daily life / self help,Assist in arranging table settings for guests,Encourage etiquette and participation in social duties
7-8,daily life / self help,Wash hands before and after meals independently,Reinforce hygiene and routine awareness
7-8,daily life / self help,Help carry lightweight grocery bags,Build responsibility and sense of contribution
7-8,daily life / self help,Put away school shoes in the proper place daily,Develop tidiness and consistent organization habits
7-8,daily life / self help,Clean their study table before starting homework,Promote focus and preparation habits
7-8,daily life / self help,"Help cut fruits with a safe, child-friendly knife",Build confidence and kitchen independence
7-8,daily life / self help,Plan and prepare a small picnic or snack outing,Encourage initiative and organization skills
7-8,daily life / self help,Learn to tell and manage time using a clock or watch,Develop time awareness and punctuality
7-8,daily life / self help,Help organize household items like shoes or bookshelves,Encourage cooperation and responsibility
7-8,daily life / self help,Check school timetable and pack accordingly,Foster independence and daily readiness
7-8,daily life / self help,Learn basic safety like not touching hot surfaces,Teach awareness and personal safety
7-8,daily life / self help,Clean up after meals and put plates in the sink,Encourage responsibility and manners
7-8,daily life / self help,Help change bed sheets or pillow covers,Develop independence and contribution to chores
7-8,daily life / self help,Keep track of personal belongings at school,Promote accountability and memory habits
7-8,daily life / self help,"Learn to open and close zippers, buttons, and hooks quickly",Enhance fine motor control and independence
7-8,daily life / self help,Use a napkin properly during meals,Reinforce table manners and hygiene
7-8,daily life / self help,Keep school notebooks and homework in a proper folder,Encourage organization and responsibility
7-8,daily life / self help,Help prepare breakfast items like cereal or toast,Promote self-sufficiency in meal preparation
7-8,daily life / self help,Check the refrigerator and make a list of needed items,Build awareness and planning skills
7-8,daily life / self help,Assist in packing away groceries after shopping,Teach responsibility and teamwork at home
7-8,daily life / self help,Keep personal electronic gadgets safely charged,Promote care and independence with technology use
7-8,daily life / self help,Learn to read simple labels on household items,Encourage reading comprehension and practical learning
7-8,daily life / self help,Help match socks and organize laundry after drying,Develop sorting skills and household awareness
7-8,daily life / self help,Keep study and play areas clutter-free daily,Promote consistency and cleanliness habits
7-8,daily life / self help,Refill soap dispensers or tissue boxes when empty,Encourage observation and initiative at home
